participant,session,date,expName,psychopyVersion,frameRate,RecalledWord,RT,Prime,PrimeCondition,PrimeDuration,OutputPosition,Block,StudyPosition,Studied,PrimeRecalledCondition,PrimeFor,IdentityPriming,Acc
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,COLLECT,8000.77,THIRST,Unrelated,49.64,27,2,36,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,STREET,8000.07,HUNGER,Unrelated,50.555,28,2,41,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,XXXXX,7999.47,MOST,Unrelated,49.88999999,29,2,NA,NA,NA,NA,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,MAYBE,8000.765,MAYBE,Identical,50.64,30,2,33,Studied,Identical,NA,1,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,XXXXX,8001.04,TART,Related,49.605,31,2,NA,NA,NA,SOUR,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,XXXXX,7999.92,TOES,Unrelated,49.98,32,2,NA,NA,NA,NA,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,CHURCH,8000.04,CHURCH,Identical,49.78,33,2,26,Studied,Identical,NA,1,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,XXXXX,7999.73,SHOP,Related,51.21,34,2,NA,NA,NA,STORE,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,LOVE,7999.28,CLARIFY,Related,49.115,35,2,17,Studied,NA,CLEAR,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,LOSE,1649.615,SQUARE,Unrelated,49.13,36,2,19,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,XXXXX,8000.4,WARM,Identical,50.865,37,2,NA,NA,NA,NA,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,XXXXX,8000.78,FIRST,Unrelated,49.04,38,2,NA,NA,NA,NA,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,HEAR,1450.565,HEAR,Identical,48.8,39,2,31,Studied,Identical,NA,1,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,DANCING,8001.77,SEIZE,Related,49.18,40,2,NA,NA,NA,TAKE,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,FOOD,8000.455,DESERT,Identical,49.715,41,2,8,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,XXXXX,7999.675,DILEMMA,Related,50.83,42,2,NA,NA,NA,PROBLEM,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,DEATH,1681.765,firstword,firstword,NA,1,3,1,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,KNIFE,1999.46,ENTER,Unrelated,49.855,2,3,27,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,SCISSORS,2282.74,FINGER,Unrelated,49.71,3,3,31,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,PIECE,1249.86,ENGAGE,Related,49.88999999,4,3,26,Studied,NA,MARRY,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,DISAGREE,2615.42,MANY,Identical,49.855,5,3,13,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,BUSH,1082.7,SHORT,Unrelated,49.47,6,3,12,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,SHERRIF,1600.18,ROCK,Unrelated,49.16,7,3,NA,NA,NA,NA,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,SHERIFF,1749.405,ANIMAL,Unrelated,49.94,8,3,7,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,MARRY,2701.335,BOTHER,Related,49.195,9,3,2,Studied,NA,ANNOY,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,DRUGS,1148.965,WHOLE,Unrelated,51.12,10,3,34,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,DRAW,1449.85,SPOON,Unrelated,49.935,11,3,33,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,CHILD,1065.7,TOCK,Identical,49.99,12,3,30,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,RENT,1150.035,INTENT,Related,50.605,13,3,15,Studied,NA,PURPOSE,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,SAME,7999.45,CLOWN,Identical,49.155,14,3,40,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,HATE,7999.885,QUART,Unrelated,49.105,15,3,28,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,TOOL,7998.82,SHOVE,Unrelated,49.935,16,3,39,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,XXXXX,7999.35,CARD,Identical,50.005,17,3,NA,NA,NA,NA,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,RAIN,8015.73,GENUINE,Related,49.475,18,3,29,Studied,NA,REAL,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,QUIET,8000.66,PRECISE,Related,51.92,19,3,38,Studied,NA,EXACT,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,XXXXX,7999.79,THIN,Identical,51.15,20,3,NA,NA,NA,NA,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,XXXXX,7999.515,PLANE,Identical,50.23,21,3,NA,NA,NA,NA,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,BUSH,7998.92,STRIPE,Identical,51.135,22,3,12,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,XXXXX,8001.525,YOUTH,Related,49.885,23,3,NA,NA,NA,YOUNG,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,XXXXX,8000.125,SLIDE,Identical,49.155,24,3,NA,NA,NA,NA,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,XXXXX,7990.515,WHERE,Unrelated,49.265,25,3,NA,NA,NA,NA,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,XXXXX,7999.605,TEETH,Unrelated,48.125,26,3,NA,NA,NA,NA,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,XXXXX,8000.88,THANKS,Identical,48.995,27,3,NA,NA,NA,NA,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,FOUND,8000.225,FOUND,Unrelated,49.785,28,3,NA,NA,Unrelated,NA,1,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,XXXXX,8000.74,MUSCLE,Unrelated,50.2,29,3,NA,NA,NA,NA,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,XXXXX,8000.615,WORST,Unrelated,48.795,30,3,NA,NA,NA,NA,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,XXXXX,8000.125,THROAT,Related,49.77,31,3,NA,NA,NA,NECK,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,XXXXX,7999.37,SALIVA,Related,49.88,32,3,NA,NA,NA,SPIT,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,XXXXX,8000.335,PARCEL,Related,49.875,33,3,NA,NA,NA,PACKAGE,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,XXXXX,8000.22,IMMORAL,Related,48.31000001,34,3,NA,NA,NA,WRONG,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,XXXXX,8024.57,EXCUSE,Identical,50.505,35,3,NA,NA,NA,NA,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,XXXXX,7999.15,POSTAGE,Related,48.82500001,36,3,NA,NA,NA,STAMP,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,XXXXX,8000.21,TRAILER,Identical,50.615,37,3,NA,NA,NA,NA,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,XXXXX,8000.73,PLANT,Unrelated,50.17,38,3,NA,NA,NA,NA,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,XXXXX,7999.83,SHALLOW,Identical,48.695,39,3,NA,NA,NA,NA,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,XXXXX,7999.445,SHARK,Unrelated,49.255,40,3,NA,NA,NA,NA,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,XXXXX,8000.01,VOTE,Identical,51,41,3,NA,NA,NA,NA,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,XXXXX,7999.16,POTATO,Identical,53.33,42,3,NA,NA,NA,NA,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,BIKE,2352.99,firstword,firstword,NA,1,4,40,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,DOCTOR,1684.05,ARMS,Identical,48.85499999,2,4,2,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,SHIRT,2282.155,PHONY,Related,49.53,3,4,3,Studied,NA,FAKE,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,KNIT,1049.92,CLAM,Unrelated,49.995,4,4,4,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,FAKE,1316.32,BIRD,Unrelated,51.11,5,4,5,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,COUNT,2150.185,WOOD,Identical,51.08,6,4,NA,NA,NA,NA,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,GRAND,1033.33,GUITAR,Unrelated,49.155,7,4,9,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,MATH,667.33,SPOTS,Identical,50.555,8,4,8,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,MOVE,1415.395,BOMB,Unrelated,49.09499999,9,4,6,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,CELL,2284.515,ESSAY,Related,49.715,10,4,12,Studied,NA,WRITE,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,NIGHTS,2050.12,STORY,Unrelated,49.45000001,11,4,10,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,ARMS,1282.795,BEAM,Related,50.995,12,4,16,Studied,Identical,LIGHT,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,HEAD,1116.125,STING,Identical,49.125,13,4,17,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,SKIN,1767.47,NEPHEW,Unrelated,51.995,14,4,27,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,PENNY,1649.9,TOPIC,Related,50.54,15,4,41,Studied,NA,SUBJECT,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,UNDER,1400.285,LADDER,Related,50.165,16,4,42,Studied,NA,CLIMB,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,BREAD,1266.01,BREAD,Identical,51.625,17,4,30,Studied,Identical,NA,1,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,CLASS,1266.395,DUMB,Related,49.695,18,4,24,Studied,NA,STUPID,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,STRESS,2498.84,POLICY,Related,50.21,19,4,34,Studied,NA,RULE,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,EXPLODE,3432.31,MIND,Related,49.5,20,4,31,Studied,NA,BRAIN,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,WRITE,7999.315,TOUCH,Identical,49.505,21,4,23,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,BABY,8000.45,SELF,Identical,50.87,22,4,14,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,SHEEP,1215.8,SMOOTH,Unrelated,50.63000001,23,4,13,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,EXPERIMENT,8000.705,SONG,Unrelated,50.12499999,24,4,NA,NA,NA,NA,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,TOCH,7999.835,PRIM,Related,49.3,25,4,NA,NA,NA,PROPER,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,TOUCH,7999.73,REPEAT,Identical,49.855,26,4,22,Studied,Identical,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,GRAVE,2183.245,LAWYER,Unrelated,49.56,27,4,20,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,DIRT,1350.31,THORN,Related,49.19,28,4,NA,NA,NA,ROSE,0,0
