StudID,StudID_RT,key_resp_4.keys,key_resp_4.rt,captured_string,Text20_RT,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,trialsRecognition.thisRepN,trialsRecognition.thisTrialN,trialsRecognition.thisN,trialsRecognition.thisIndex,trialsRecognition.ran,Rand,RecogWord,key_resp_10.keys,key_resp_10.rt,selectedPrimeThresh,ThreshPrimeduration,Text52_RT,captured_string_Thresh,threshLoop.thisRepN,threshLoop.thisTrialN,threshLoop.thisN,threshLoop.thisIndex,threshLoop.ran,keyQuestion.keys,keyQuestion.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt,Question5Answer,Question5Answer_RT,Question6Answer,Question6Answer_RT,Question7Answer,Question7Answer_RT,demoResp,demoRT,demoloop.thisRepN,demoloop.thisTrialN,demoloop.thisN,demoloop.thisIndex,demoloop.ran,DemoQuestion
,4859,space,5.1343,SOUL,2648.6,0,0,0,0,1,5ecc6b3407b7e284f637a649,002,2021-06-09_00h47.15.444,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,CHEESE,2194.5,1,0,1,0,1,5ecc6b3407b7e284f637a649,002,2021-06-09_00h47.15.444,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,HAT,3346.3,2,0,2,0,1,5ecc6b3407b7e284f637a649,002,2021-06-09_00h47.15.444,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BED,2130.7,3,0,3,0,1,5ecc6b3407b7e284f637a649,002,2021-06-09_00h47.15.444,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TEETH,2947.1,4,0,4,0,1,5ecc6b3407b7e284f637a649,002,2021-06-09_00h47.15.444,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TOOTH,987.5,5,0,5,0,1,5ecc6b3407b7e284f637a649,002,2021-06-09_00h47.15.444,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,STEAL,1865.3,6,0,6,0,1,5ecc6b3407b7e284f637a649,002,2021-06-09_00h47.15.444,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BABY,1365.4,7,0,7,0,1,5ecc6b3407b7e284f637a649,002,2021-06-09_00h47.15.444,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,REALISTIC,1597.7,8,0,8,0,1,5ecc6b3407b7e284f637a649,002,2021-06-09_00h47.15.444,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MAID,963.1,9,0,9,0,1,5ecc6b3407b7e284f637a649,002,2021-06-09_00h47.15.444,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BANK,1064,10,0,10,0,1,5ecc6b3407b7e284f637a649,002,2021-06-09_00h47.15.444,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SPHERE,6158.2,11,0,11,0,1,5ecc6b3407b7e284f637a649,002,2021-06-09_00h47.15.444,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MINI,2197.1,12,0,12,0,1,5ecc6b3407b7e284f637a649,002,2021-06-09_00h47.15.444,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,GUN,2581.7,13,0,13,0,1,5ecc6b3407b7e284f637a649,002,2021-06-09_00h47.15.444,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,KNIFE,1299.1,14,0,14,0,1,5ecc6b3407b7e284f637a649,002,2021-06-09_00h47.15.444,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TALL,6177.8,15,0,15,0,1,5ecc6b3407b7e284f637a649,002,2021-06-09_00h47.15.444,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,THIN,1281.8,16,0,16,0,1,5ecc6b3407b7e284f637a649,002,2021-06-09_00h47.15.444,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MULTIPLY,2211.4,17,0,17,0,1,5ecc6b3407b7e284f637a649,002,2021-06-09_00h47.15.444,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TWINS,2830.8,18,0,18,0,1,5ecc6b3407b7e284f637a649,002,2021-06-09_00h47.15.444,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SNAKE,1083.8,19,0,19,0,1,5ecc6b3407b7e284f637a649,002,2021-06-09_00h47.15.444,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BUSH,1995.6,20,0,20,0,1,5ecc6b3407b7e284f637a649,002,2021-06-09_00h47.15.444,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,CHEESE,1478.8,21,0,21,0,1,5ecc6b3407b7e284f637a649,002,2021-06-09_00h47.15.444,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MONKEY,1820.2,22,0,22,0,1,5ecc6b3407b7e284f637a649,002,2021-06-09_00h47.15.444,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,DOUBLE,1846.6,23,0,23,0,1,5ecc6b3407b7e284f637a649,002,2021-06-09_00h47.15.444,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,GLASSES,3996.2,24,0,24,0,1,5ecc6b3407b7e284f637a649,002,2021-06-09_00h47.15.444,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,CHEST,2566.4,25,0,25,0,1,5ecc6b3407b7e284f637a649,002,2021-06-09_00h47.15.444,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BOAT,1432,26,0,26,0,1,5ecc6b3407b7e284f637a649,002,2021-06-09_00h47.15.444,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,CAPTAIL,4594,27,0,27,0,1,5ecc6b3407b7e284f637a649,002,2021-06-09_00h47.15.444,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,IDK,1834,28,0,28,0,1,5ecc6b3407b7e284f637a649,002,2021-06-09_00h47.15.444,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MOUSE,4861.2,29,0,29,0,1,5ecc6b3407b7e284f637a649,002,2021-06-09_00h47.15.444,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
