Participant#,Identical,Related,Unrelated
1,55,59,54
2,57,51,60
3,65,46,57
4,49,57,62
5,56,52,60
6,62,54,52
7,60,58,50
8,52,51,65
9,60,52,56
10,65,58,45
11,60,56,52
12,55,54,59
13,43,57,68
14,60,52,56
15,63,60,45
16,43,56,69
17,65,41,62
18,57,58,53
19,53,47,68
20,59,57,52
21,55,47,65
22,54,56,58
23,57,56,55
24,56,49,62
25,54,56,58
26,61,51,56
27,58,56,54
28,53,51,64
29,49,58,61
30,49,61,58
31,62,54,51
32,45,61,62
33,57,59,52
34,49,54,65
35,51,55,62
36,51,56,61
37,68,43,56
38,56,42,70
39,36,57,75
40,56,54,58
41,69,39,60
42,50,49,69
43,53,44,71
44,52,50,66
45,57,55,56
46,55,58,54
47,64,49,55
48,46,53,69
49,56,56,56
50,49,57,62
51,54,58,56
52,56,47,65
53,70,47,51
54,50,66,52
55,43,55,70
56,35,54,79
57,68,50,50
58,62,65,41
59,54,52,62
60,66,49,52
61,43,62,63
62,59,46,63
63,55,48,65
64,57,62,49
65,59,50,59
66,49,58,61
