StudID,StudID_RT,keyWelcome.keys,keyWelcome.rt,key_resp.keys,key_resp.rt,BackupWord,practiceblockstudy.thisRepN,practiceblockstudy.thisTrialN,practiceblockstudy.thisN,practiceblockstudy.thisIndex,practiceblockstudy.ran,Rand,PracWord,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,Text20_RT,captured_string_prac,selectedPrimeprac,pracPrimeCondition,pracPrimeduration,pracBlock.thisRepN,pracBlock.thisTrialN,pracBlock.thisN,pracBlock.thisIndex,pracBlock.ran,keyNextInstruct.keys,keyNextInstruct.rt,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,trialsStudy.ran,WordItem,keyInstructAgain.keys,keyInstructAgain.rt,Text4_RT,captured_string,selectedPrimeblock1,PrimeConditionblock1,block1Primeduration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_4.keys,key_resp_4.rt,Block2.thisRepN,Block2.thisTrialN,Block2.thisN,Block2.thisIndex,Block2.ran,key_resp_5.keys,key_resp_5.rt,text32_RT,captured_string_block2,selectedPrimeblock2,primeConditionblock2,block2primeduration,trialsBlock2.thisRepN,trialsBlock2.thisTrialN,trialsBlock2.thisN,trialsBlock2.thisIndex,trialsBlock2.ran,trialsBlock2.order
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,space,8.100615,2233.185,MONARCH,DEGREE,Related,50.04999999,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,2733.145,PLEAD,BRIGHT,Related,49.83,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,2066.965,PILE,DIVE,Unrelated,36.91,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,4066.615,FUNERAL,SOUL,Identical,49.52999999,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,3851.49,WRECK,CHEIFTAN,Related,49.82,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,7999.09,XXXXX,FREEZE,Unrelated,50.575,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,8000.19,XXXXX,COLONY,Identical,49.57,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,7999.96,XXXXX,COWARD,Unrelated,49.45999999,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,8000.09,XXXXX,QUOTE,Unrelated,49.04999999,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,8001,XXXXX,CONTEXT,Unrelated,48.86000001,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,DEAF,,,,,,0.631935629,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,space,5.91529,0,0,0,5,1,DEAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,FROG,,,,,,0.897748594,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,0,1,1,12,1,FROG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,HOTEL,,,,,,0.618085154,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,0,2,2,16,1,HOTEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,STARS,,,,,,0.055410215,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,0,3,3,8,1,STARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,POUND,,,,,,0.928630843,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,0,4,4,29,1,POUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,PICTURE,,,,,,0.889531673,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,0,5,5,26,1,PICTURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LAND,,,,,,0.603205912,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,0,6,6,22,1,LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SWEET,,,,,,0.837848115,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,0,7,7,37,1,SWEET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,HOOP,,,,,,0.237463457,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,0,8,8,15,1,HOOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SMOKE,,,,,,0.654888356,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,0,9,9,32,1,SMOKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TIGHT,,,,,,0.410788897,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,0,10,10,39,1,TIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LEARN,,,,,,0.100581944,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,0,11,11,24,1,LEARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,DOOR,,,,,,0.038864672,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,0,12,12,33,1,DOOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,BRIDE,,,,,,0.127448229,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,0,13,13,3,1,BRIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,MINOR,,,,,,0.680082984,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,0,14,14,27,1,MINOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,KISS,,,,,,0.221971901,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,0,15,15,20,1,KISS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,DIRT,,,,,,0.394450946,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,0,16,16,7,1,DIRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,JUMP,,,,,,0.242789692,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,0,17,17,18,1,JUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ROAD,,,,,,0.898158571,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,0,18,18,23,1,ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,BELOW,,,,,,0.770571299,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,0,19,19,1,1,BELOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SMILE,,,,,,0.944813709,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,0,20,20,31,1,SMILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,GHOST,,,,,,0.664866148,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,0,21,21,14,1,GHOST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,STOMACH,,,,,,0.429594924,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,0,22,22,0,1,STOMACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,BLACK,,,,,,0.147573922,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,0,23,23,2,1,BLACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,NOISE,,,,,,0.531311598,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,0,24,24,28,1,NOISE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TRASH,,,,,,0.237928199,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,0,25,25,17,1,TRASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TRAIN,,,,,,0.93814214,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,0,26,26,25,1,TRAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,PRESENT,,,,,,0.702508085,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,0,27,27,35,1,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,WORLD,,,,,,0.891029338,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,0,28,28,41,1,WORLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,DUSK,,,,,,0.436143834,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,0,29,29,9,1,DUSK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LAKE,,,,,,0.349850349,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,0,30,30,21,1,LAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,CAMP,,,,,,0.394973892,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,0,31,31,4,1,CAMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,GEEK,,,,,,0.020349287,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,0,32,32,13,1,GEEK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,KILL,,,,,,0.181421224,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,0,33,33,19,1,KILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,FIVE,,,,,,0.309954298,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,0,34,34,11,1,FIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SHOES,,,,,,0.306866606,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,0,35,35,30,1,SHOES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,WHEAT,,,,,,0.641845085,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,0,36,36,40,1,WHEAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SOUTH,,,,,,0.931423431,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,0,37,37,34,1,SOUTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,DEVIL,,,,,,0.906088051,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,0,38,38,6,1,DEVIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SWAMP,,,,,,0.807868441,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,0,39,39,36,1,SWAMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SORRY,,,,,,0.536749899,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,0,40,40,10,1,SORRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,THIEF,,,,,,0.33712306,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,0,41,41,38,1,THIEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,space,7.172045,2283.575,FROG,SOCKS,Related,49.53,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,1634.095,DEAF,CASTLE,Unrelated,50.625,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,1616.135,HOTEL,SKIP,Related,53.20000001,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,1284.18,LAND,FROWN,Related,40.045,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,1715.65,TRAIN,HINGE,Related,55.59,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,1767.115,FALL,GARBAGE,Related,50.82,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,1734.32,HOOPS,APOLOGY,Related,50.93,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,1799.885,HOOP,GHOST,Identical,50.34500001,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,3583.32,DIRT,PENCIL,Unrelated,49.27,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,2300.2,SCALE,STOMACH,Identical,48.56,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,2666.405,PRESENT,PLAN,Unrelated,49.495,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,2199.265,BLACK,CAMP,Identical,50.80500001,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,1800.315,DUSK,TIGHT,Identical,50.88499999,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,2933.53,STOMACH,LEARN,Identical,48.87499999,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,1351.085,TRASH,MAID,Unrelated,49.49,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,1551.43,LAKE,MARSH,Related,48.91500001,15,0,15,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,1433.585,CAMP,PICTURE,Identical,50.08,16,0,16,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,5083.09,GEEK,KILL,Identical,48.81000001,17,0,17,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,1448.945,SHOE,NINE,Unrelated,50.02,18,0,18,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,2316.35,FIVE,MONKEY,Unrelated,49.55000001,19,0,19,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,8002.145,XXXXX,BRIDE,Identical,50.875,20,0,20,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,1665.7,SMOKE,CARRY,Unrelated,50.07,21,0,21,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,7999.365,XXXXX,THIEF,Identical,50.015,22,0,22,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,5416.77,BRIDE,SURE,Unrelated,48.44499999,23,0,23,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,1816.11,SCHOOL,PAPER,Unrelated,48.88999999,24,0,24,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,1166.61,DOOR,SOUND,Related,49.805,25,0,25,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,2184.4,KISS,GLOBE,Related,50.065,26,0,26,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,1368.26,TEACHER,BELOW,Identical,49.705,27,0,27,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SN,001,2020-09-28_16h00.36.012,S1.1ConstantTotalFinal,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,8001.635,XXXXX,ITCH,Unrelated,48.23499999,28,0,28,0,1,,,,,,,,,,,,,,,,,,,,
